keys;en;fr
LABEL_WELCOME;Get ready!;Faites chauffer le moteur !
LABEL_SUCCESS;Great job!;Bravo !
LABEL_FAILED;Try again…;Essaye encore…
MESSAGE_ACCIDENT;"W a t c h
o u t !";A t t e n t i o n !
MESSAGE_LEVEL1;Let's start with the basics…;Commençons par les bases…
MESSAGE_LEVEL2;Now let's take a step back.;Maintenant prenons un peu de recul.
MESSAGE_LEVEL3;Woah, what's hapenning over there?;Oh ! Mais que se passe-t-il là bas?
MESSAGE_LEVEL4;That was close! We're lucky nobody was crossing the road.;On a eu chaud, heureusement que personne ne traversait la route.
CROSSING_STOPPED_ON;Stopping on zebra lines is prohibited.;Il est interdit de s'arrêter sur un passage piéton.
CROSSING_PEDESTRIAN_WALKING;You have to wait for pedestrians to finish crossing.;Tu dois attendre que les piétons aient fini de traverser avant de passer.
STOP_STEPPED_ON;Don't forget to stop before the stop line.;N'oublie pas de t'arrêter avant la ligne d'un stop
STOP_BACKED_ON;You can't back on a stop line.;On ne peut pas reculer sur une ligne de stop.
STOP_RUNNED_OVER;Dangerous ! Stop before a stop line.;Danger! Il faut toujours s'arrêter devant un stop.
